キャリア,機種名,ニックネーム,メーカー（ロゴ）,メーカー（社名）,発売日,通信方式,プロセッサ,RAM,ROM,質量[g],画面サイズ（インチ）,ディスプレイ種別,画面解像度（縦×横）,液晶最大表示色数,ハードウェアキー,テザリング,赤外線,GPS,電子コンパス,非接触充電（ワイヤレス給電/おくだけ充電）,ワンセグ,マルチメディア放送（モバキャス）,3D,防水,データ更新日,,,,,,,,,,,,
au,KYL23,miraie,KYOCERA,京セラ,2015/1/30,WIN HIGH SPEED,MSM8926　1.2GHz（Quad Core）,1.5GB,8GB,134,4.5,TFT液晶,960×540,"16,777,216",-,Y,N,Y,Y,N,N,N,N,Y,2015/2/2,,,,,,,,,,,,
au,KYV31,URBANO V01,KYOCERA,京セラ,2014/12/12,-,MSM8974AB　2.3GHz（Quad Core）,2GB,16GB,155,5,TFT液晶,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,KYV32,BASIO,KYOCERA,京セラ,2015/2/13,-,MSM8974AB　2.3GHz（Quad Core）,2GB,16GB,152,5,TFT液晶,1920×1080,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,KYV34,URBANO V02,KYOCERA,京セラ,2015/7/18,-,MSM8928　1.4GHｚ（Quad Core）,2GB,16GB,138,5,TFT液晶,1280×720,"16,777,216",-,Y,Y,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,KYV35,TORQUE G02,KYOCERA,京セラ,2015/7/16,-,MSM8928　1.4GHｚ（Quad Core）,2GB,16GB,203,4.7,IGZO,1280×720,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2015/11/2,,,,,,,,,,,,
au,KYV36,DIGNO rafre,KYOCERA,京セラ,2015/12/11,-,MSM8994　2.0GHz（Quad Core）＋　1.5GHｚ（Quad Core）,3GB,32GB,144,5.2,TFT液晶,1280×720,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2015/12/14,,,,,,,,,,,,
au,KYV37,Qua phone,KYOCERA,京セラ,2016/2/5,-,MSM8916 1.2GHz（Quad Core）,2GB,16GB,132,5,TFT液晶,1280×720,"16,777,216",-,Y,N,Y,Y,N,N,N,N,Y,2016/2/9,,,,,,,,,,,,
au,KYV38,URBANO V03,KYOCERA,京セラ,2016/12/9,-,MSM8937 1.4GHz（Quad Core）＋1.1GHz（Quad Core）,2GB,16GB,137,5,TFT液晶,1280×720,"16,777,216",-,Y,Y,Y,Y,N,N,N,N,Y,2016/12/14,,,,,,,,,,,,
au,KYV39,miraie f,KYOCERA,京セラ,2017/1/20,-,MSM8917 1.4GHz（Quad Core）,2GB,16GB,136,4.7,TFT液晶,1280×720,"16,777,216",-,Y,N,Y,Y,N,N,N,N,Y,2017/1/25,,,,,,,,,,,,
au,KYV40,rafre,KYOCERA,京セラ,2017/2/24,-,MSM8937 1.4GHz（Quad Core）＋1.1GHz（Quad Core）,2GB,16GB,159,5,TFT液晶,1280×720,"16,777,216",-,Y,N,Y,Y,N,Y,N,N,Y,2017/3/1,,,,,,,,,,,,
au,KYV41,TORQUE G03,KYOCERA,京セラ,2017/6/30,-,MSM8953 2.0GHz（Octa Core）,3GB,32GB,198,4.6,TFT液晶,1280×720,"16,777,216",-,Y,N,Y,Y,N,N,N,N,Y,2017/7/4,,,,,,,,,,,,
au,KYV42,Qua phone QX,KYOCERA,京セラ,2017/7/14,-,MSM8937 1.4GHz（Quad Core）＋1.1GHz（Quad Core）,2GB,16GB,139,5,TFT液晶,1280×720,"16,777,216",-,Y,Y,Y,N,N,N,N,N,Y,2017/7/20,,,,,,,,,,,,
au,KYV43,BASIO3,KYOCERA,京セラ,2018/1/19,-,MSM8937 1.4GHz（Quad Core）＋1.1GHz（Quad Core）,3GB,32GB,150,5,TFT液晶,1920×1080,"16,777,216",-,Y,Y,Y,N,N,Y,N,N,Y,2018/1/23,,,,,,,,,,,,
